,,Task Optimization,,,,
Process (#),Process (Name),Cycle Time (s),Automated (Y/N),Capacity (# of ports),Immediate Predecessor (# from Col. 1),Takt
1,unpack,24,n,,,480
2,receive,18,Y,4,1,
3,transport to wnlite,10,N,,2,
4,pack,10,n,,3,
5,wnlite,90,n,,4,
6,ri,8,y,4,5,
7,fus,60,n,,6,
8,labels,35,n,,7,
9,burn mac,31,y,4,8,
10,reset portal,9,y,10,9,
11,wn functional,20,y,8,10,
12,reset m/ clean,118,n,,11,
13,pot reset,8,y,8,12,
14,qc,60,n,,13,
15,fotos,92,n,,14,
16,pack,60,n,,15,
17,bin,10,n,,16,
18,pack,60,n,,17,
19,ooba,180,n,,18,
